feature,importance
total_declining_count,1.4777
critical_cval_count,1.3194
dif_nutri_enc,0.0
dif_obesic_enc,0.0
dif_sleep_enc,0.0
dif_depre_enc,0.0
dif_wellr_enc,0.0
dif_anti_stress_enc,0.0
dif_anti_smoke_enc,0.0
dif_move_enc,0.0
c_val_nut_enc,0.0
c_val_obe_enc,0.0
c_val_sle_enc,0.0
c_val_dep_enc,0.0
c_val_wel_enc,0.0
c_val_anti_stress_enc,0.0
c_val_anti_smoke_enc,0.0
c_val_movement_enc,0.0
